sent_id,sentence,agent,event,target,passive_approx,is_passive
0,The cat chased the mouse.,cat,chase,mouse,0,0
1,John reads books.,john,read,book,0,0
2,Mary loves chocolate.,mary,love,chocolate,0,0
3,The dog barks loudly.,dog,bark loudly,,0,0
4,The sun sets in the west.,sun,set,in west,0,0
5,Birds fly.,bird,fly,,0,0
6,The student is reading a book.,student,read,book,0,0
7,They have finished their homework.,they,finish,their homework,0,0
8,He will eat the apple.,he,will eat,apple,0,0
9,The team had lost the game.,team,lose,game,0,0
10,The mouse was chased by the cat.,cat,chase,mouse,0,1
11,The book was written by John.,john,write,book,0,1
12,The car is fixed by the mechanic.,mechanic,fix,car,0,1
13,The letter was delivered by the postman.,postman,deliver,letter,0,1
14,The window was broken.,window,break,,1,1
15,The project is completed.,project,complete,,1,1
16,The suspect has been arrested.,suspect,arrest,,1,1
17,Mistakes were made.,mistake,make,,1,1
18,Tom gave Mary a gift.,tom,give,gift,0,0
19,The teacher taught the students history.,teacher,teach,history,0,0
20,She handed him the keys.,she,hand,key,0,0
21,I bought my friend a coffee.,i,buy,coffee,0,0
22,The cat did not chase the mouse.,cat,do not chase,mouse,0,0
23,He does not like vegetables.,he,do not like,vegetable,0,0
24,They have never seen the movie.,they,never see,movie,0,0
25,She will not accept the offer.,she,will not accept,offer,0,0
26,Did the cat chase the mouse?,cat,do chase,mouse,0,0
27,Have you seen my keys?,you,see,my key,0,0
28,Who ate the cake?,who,eat,cake,0,0
29,What did she say?,she,do say,what,0,0
30,The man who threw the ball is my friend.,man,be,friend,0,0
31,The car that I bought is fast.,car,be,fast,0,0
32,The book which she read was interesting.,book,be,interesting,0,0
33,People who live in glass houses shouldn't throw stones.,People,throw,stone,0,0
34,Alice and Bob played tennis.,alice,play,tennis,0,0
35,The cat chased the mouse and the bird.,cat,chase,mouse,0,0
36,He ate a burger and drank a soda.,he,eat,burger,0,0
37,Both the manager and the employees attended the meeting.,manager,attend,meeting,0,0
38,She wants to learn French.,she,want learn,french,0,0
39,They decided to stay home.,they,decide stay,,0,0
40,He likes to play guitar.,he,like play,guitar,0,0
41,I need to find a new job.,i,need find,new job,0,0
42,The company should increase its profits.,company,increase,its profit,0,0
43,We must solve this problem.,we,must solve,this problem,0,0
44,They might cancel the event.,they,might cancel,event,0,0
45,You can achieve anything.,you,can achieve,anything,0,0
46,"Although he was tired, he finished the work.",he,finish,work,0,0
47,"Because it rained, they canceled the picnic.",they,cancel,picnic,0,0
48,"If you study hard, you will pass the exam.",you,pass,exam,0,0
49,"While she was sleeping, the phone rang.",phone,ring,,0,0
50,The patient was helped by the doctor.,doctor,help,patient,0,1
51,The song was sung by the choir.,choir,sing,song,0,1
52,The house was built by the workers.,worker,build,house,0,1
53,The report was reviewed by the committee.,committee,review,report,0,1
54,The cake was eaten.,cake,eat,,1,1
55,The door was left open.,door,leave,,1,1
56,The files have been deleted.,file,delete,,1,1
57,The city was destroyed by the earthquake.,earthquake,destroy,city,0,1
58,She was given a promotion by her boss.,her boss,give,she,0,1
59,The children were taught math by the tutor.,tutor,teach,child,0,1
60,The message was forwarded by the assistant.,assistant,forward,message,0,1
61,The bridge was damaged by the storm.,storm,damage,bridge,0,1
62,The proposal was rejected.,proposal,reject,,1,1
63,The game was won by the underdog.,underdog,win,game,0,1
64,The scientist discovered a new species.,scientist,discover,new species,0,0
65,The artist painted a beautiful landscape.,artist,paint,beautiful landscape,0,0
66,The chef prepared a five-course meal.,chef,prepare,course meal,0,0
67,Lightning struck the old tree.,lightning,strike,old tree,0,0
68,The jury found the defendant guilty.,jury,find,defendant,0,0
